All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Column1,Transaction Types,Transaction Status,"Total Transaction Value (CADmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Geographic Locations [Target/Issuer],Business Description [Target/Issuer],Long Business Description [Target/Issuer],Exchange Country/Region [Primary Listing] [Target/Issuer]
03-12-2020,Helix BioPharma Corp. (TSX:HBP),TSX:HBP,Therapeutic R&D,Private Placement,Closed, 5.21 ,-,-,IQTR658520207,Health Care (Primary),Canada (Primary),"Helix BioPharma Corp., an immune-oncology company, focuses on the development of cancer drugs in Canada. It is developing L-DOS47 for the treatment of non-squamous small cell lung cancer; V-DOS47 that targets the vascular epithelial growth factor receptor 2; and chimeric antigen receptor T-cell (CAR-T) therapeutic for the treatment of hematological and solid tumors. Helix BioPharma Corp. has collaboration agreements with Moffitt Cancer Center to investigate the pharmacodynamics of L-DOS47 and determine the benefits of combining L-DOS47 with immune checkpoint inhibitors; and with ProMab Biotechnologies, Inc. to develop novel antibody and chimeric antigen receptor T-cell therapy for hematological malignancies, as well as a collaborative research agreement with Affilogic to assess proprietary anti-tumor targeting agents in combination with DOS47. The company is headquartered in Richmond Hill, Canada.","Helix BioPharma Corp., an immune-oncology company, focuses on the development of cancer drugs in Canada.  The company is developing products for the treatment and prevention of cancer based on its proprietary technologies. The company’s product development initiatives are focused primarily on technologies that modulate the tumour microenvironment. The company’s proprietary technology platform, DOS47 has yielded two new drug product candidates, L-DOS47 and V-DOS47. L-DOS47 is under clinical study for the treatment of NSCLC. L-DOS47 has completed preclinical testing and manufacturing development, following which, regulatory approvals to conduct a Phase I/II clinical trial In Poland and a Phase I study in the U.S. were obtained. V-DOS47 has been licensed to the company’s wholly-owned Polish subsidiary for preclinical and clinical development. The V-DOS47 drug candidate uses the company’s proprietary DOS47 technology conjugated to anti-VEGFR2 antibody targeting a range of cancers. The company has exclusive out-license agreement with Xisle Pharma Ventures Trust (Xisle) for the Company's late-stage, Biphasix technology platform, including the lead product candidate, interferon alpha. Xisle is responsible for the continued clinical development and subsequent commercialization of the product for the treatment of HPV-induced, low-grade, cervical intraepithelial lesions. Intellectual Property The company owns two U.S. patents in respect of the DOS47 technology, and also has also licensed patent rights from the NRC for the antibody component of L-DOS47. With respect to non-U.S. patents, the company owns 52 DOS47 related patents in other jurisdictions with various patent applications in countries worldwide. The company has filed a joint patent application with NRC to protect the use of an antibody for use in cell-based therapies. In addition, the company has also filed new patent application covering the use of anti-VEGFR2 antibodies in cell-based therapy in July 2017. The company has filed a Canadian Trade Mark Application for TUMOR DEFENSE BREAKER. Agreements The company has a collaboration agreement with Moffitt Cancer Center to perform basic research studies to further investigate the pharmacodynamics of L-DOS47 and determine the potential benefits of combining L-DOS47 with immune checkpoint inhibitors. The company has a collaboration agreement with the Moffit Cancer Center to extract radiomics data using their proprietary HealthMyne platform from CT scans of late stage lung cancer patients treated with L-DOS47.","TSX:HBP
Company: Helix BioPharma Corp.
(IQT2618189) - Canada"
01-13-2020,Helix BioPharma Corp. (TSX:HBP),TSX:HBP,Therapeutic R&D,Private Placement,Closed, 3.0 ,-,-,IQTR650880215,Health Care (Primary),Canada (Primary),"Helix BioPharma Corp., an immune-oncology company, focuses on the development of cancer drugs in Canada. It is developing L-DOS47 for the treatment of non-squamous small cell lung cancer; V-DOS47 that targets the vascular epithelial growth factor receptor 2; and chimeric antigen receptor T-cell (CAR-T) therapeutic for the treatment of hematological and solid tumors. Helix BioPharma Corp. has collaboration agreements with Moffitt Cancer Center to investigate the pharmacodynamics of L-DOS47 and determine the benefits of combining L-DOS47 with immune checkpoint inhibitors; and with ProMab Biotechnologies, Inc. to develop novel antibody and chimeric antigen receptor T-cell therapy for hematological malignancies, as well as a collaborative research agreement with Affilogic to assess proprietary anti-tumor targeting agents in combination with DOS47. The company is headquartered in Richmond Hill, Canada.","Helix BioPharma Corp., an immune-oncology company, focuses on the development of cancer drugs in Canada.  The company is developing products for the treatment and prevention of cancer based on its proprietary technologies. The company’s product development initiatives are focused primarily on technologies that modulate the tumour microenvironment. The company’s proprietary technology platform, DOS47 has yielded two new drug product candidates, L-DOS47 and V-DOS47. L-DOS47 is under clinical study for the treatment of NSCLC. L-DOS47 has completed preclinical testing and manufacturing development, following which, regulatory approvals to conduct a Phase I/II clinical trial In Poland and a Phase I study in the U.S. were obtained. V-DOS47 has been licensed to the company’s wholly-owned Polish subsidiary for preclinical and clinical development. The V-DOS47 drug candidate uses the company’s proprietary DOS47 technology conjugated to anti-VEGFR2 antibody targeting a range of cancers. The company has exclusive out-license agreement with Xisle Pharma Ventures Trust (Xisle) for the Company's late-stage, Biphasix technology platform, including the lead product candidate, interferon alpha. Xisle is responsible for the continued clinical development and subsequent commercialization of the product for the treatment of HPV-induced, low-grade, cervical intraepithelial lesions. Intellectual Property The company owns two U.S. patents in respect of the DOS47 technology, and also has also licensed patent rights from the NRC for the antibody component of L-DOS47. With respect to non-U.S. patents, the company owns 52 DOS47 related patents in other jurisdictions with various patent applications in countries worldwide. The company has filed a joint patent application with NRC to protect the use of an antibody for use in cell-based therapies. In addition, the company has also filed new patent application covering the use of anti-VEGFR2 antibodies in cell-based therapy in July 2017. The company has filed a Canadian Trade Mark Application for TUMOR DEFENSE BREAKER. Agreements The company has a collaboration agreement with Moffitt Cancer Center to perform basic research studies to further investigate the pharmacodynamics of L-DOS47 and determine the potential benefits of combining L-DOS47 with immune checkpoint inhibitors. The company has a collaboration agreement with the Moffit Cancer Center to extract radiomics data using their proprietary HealthMyne platform from CT scans of late stage lung cancer patients treated with L-DOS47.","TSX:HBP
Company: Helix BioPharma Corp.
(IQT2618189) - Canada"
01-02-2020,Hemostemix Inc. (TSXV:HEM),TSXV:HEM,Therapeutic R&D,Private Placement,Announced, 3.0 ,-,-,IQTR649746967,Health Care (Primary),Canada (Primary),"Hemostemix Inc., a clinical-stage biotechnology company, develops, manufactures, and commercializes blood-derived cell therapies for medical conditions. It develops cell therapy products from the patient’s own blood, a relatively non-invasive source of therapeutic cells. The company’s lead product is ACP-01, an autologous cell therapy for the treatment of critical limb ischemia, which is in Phase II clinical trial in Canada and the United States. It is also developing various types of cells products, such as synergetic cell populations, myocardial cell precursors, and neural cell precursors. Hemostemix Inc. is headquartered in Calgary, Canada.",-,"TSXV:HEM
Company: Hemostemix Inc.
(IQT278407492) - Canada"
01-07-2020,Imagin Medical Inc. (CNSX:IME),CNSX:IME,Medical Devices,Private Placement,Closed, 1.91 ,-,-,IQTR650228337,Health Care (Primary),Canada (Primary),"Imagin Medical Inc. engages in developing imaging solutions for the early detection of cancer through the use of endoscopes. Its ultrasensitive imaging technology is based on improved optical designs and advanced light sensors for detecting cancer, as well as visualize, identify, and remove cancerous cells. The company’s target market is bladder cancer. Imagin Medical Inc. is headquartered in Vancouver, Canada.",-,"CNSX:IME
Company: Imagin Medical Inc.
(IQT302480186) - Canada"
03-18-2020,IMV Inc. (TSX:IMV),TSX:IMV,Therapeutic R&D,Public Offering,Announced, 43.56 ,-,-,IQTR659231710,Health Care (Primary),Canada (Primary),"IMV Inc., a clinical-stage immuno-oncology company, together with its subsidiaries, develops products based on its platform and products with a primary focus on T cell activating therapies for cancer. The company’s DPX drug development platform provides a patented delivery formulation that enables controlled and prolonged exposure of antigens to the immune system. The company develops DPX-Survivac, T cell activating immunotherapy that is in Phase II clinical trials for ovarian cancer and diffuse large B-cell lymphoma. It also develops DPX-RSV, a B cell epitope peptide vaccine candidate, which has completed a Phase I clinical trial for respiratory syncytial virus; DPX-E7 an investigational immunotherapy that targets a viral protein in human papillomavirus (HPV) known as E7; and vaccine candidates for malaria and the Zika virus. IMV Inc. has collaboration and license agreements with Merck & Co., Inc., Dana-Farber Cancer Institute, Incyte Corporation, and Leidos Inc, as well as with Zoetis and The Wistar Institute; and a preclinical therapeutic research collaboration with Navidea Biopharmaceuticals, Inc. to explore the potential combinatory effect with their platform-based immunotherapies. The company was formerly known as Immunovaccine Inc. and changed its name to IMV Inc. in May 2018. IMV Inc. was founded in 2000 and is headquartered in Dartmouth, Canada.","IMV Inc. operates as a clinical-stage biopharmaceutical company that develops immunotherapy products for cancer and other serious diseases. The company is pioneering a new class of immunotherapies based on the company’s proprietary drug delivery platform (DPX). The company’s major product candidate, DPX-Survivac, has demonstrated the ability to induce prolonged T cell activation leading to tumour regressions in advanced ovarian cancer and is being used in clinical trials as monotherapy and in combination with Merck & Co Inc.’s (Merck’s) KEYTRUDA checkpoint inhibitor. The company’s clinical strategy is to establish monotherapy activity of DPX-Survivac to increase value, de-risk clinical development, and to target late stage unmet medical needs for a shorter path to clinical demonstration and first regulatory approval, and to establish strategic partnerships to support further development and commercialization. In addition, the company is evaluating DPX Survivac in combination with Merck's KEYTRUDA checkpoint inhibitor in multiple oncology targets. The company is focusing on fast path to market in ovarian and diffuse large B cell lymphoma cancers and on repeating its clinical demonstrations of activity in other indications. In collaboration with commercial and academic partners, the company is also expanding the application of DPX as a delivery platform for other applications. The company intends to be opportunistic in the development of products by exploring various avenues, including co-development through collaborations, strategic partnerships or other transactions with third parties. The company might seek additional equity and non-dilutive funding and partnerships to advance the development of its product candidates. Platform and Products in Development DPX-Survivac DPX-Survivac, the company’s cancer immunotherapy candidate, uses survivin-based peptides licensed from Merck KGaA on a worldwide exclusive basis that are formulated in DPX. DPX-Survivac leverages the mechanism of action (MOA) of DPX to generate a constant flow of T cells in the blood that are targeted against survivin expressed on cancer cells, and it includes five minimal MHC class I peptides designed to activate naïve T cells against survivin. DPX-Survivac is being tested in 6 different cancer indications through multiple phase 2 clinical trials. Monotherapy: The DeCidE1 phase 2 study is an open label safety and efficacy study for individuals with advanced platinum-sensitive and resistant ovarian cancer with sum of base line target lesions per Recist criteria approximately five centimeters. In March 2019, preliminary data from the phase 2 cohort of the Decide clinical study. This amended phase 2 study evaluates the safety and efficacy of DPX-Survivac monotherapy with monotherapy with intermittent low-dose cyclophosphamide (mCPA) in patients with advanced recurrent ovarian cancer. In 2018, the company met with the U.S. Food and Drug Administration (FDA) in a Type B meeting to discuss the results of its DeCidE1 clinical trial and continuing development plan, as well as to obtain agency guidance on an accelerated regulatory pathway for DPX-Survivac as a T-cell immunotherapy for the treatment of advanced ovarian cancer in patients with progressing disease. The purpose of the company’s Type B meeting with the FDA was to request feedback on the design of the clinical program for DPX-Survivac. This program includes the continuing DeCidE1 phase 2 clinical study and a future registration trial for accelerated approval in a subset of ovarian cancer patients. In addition, the company submitted a protocol amendment for a predictive enrichment approach to the phase 2 DeCidE1 trial, and further discussed those details with the FDA during the Type B meeting. Combinations: This phase 2 study is a triple-combination immunotherapy in patients with measurable or recurrent diffuse large B-cell lymphoma led by Sunnybrook Research Institute. This investigator sponsored trial, announced initially in May 2017, is designed to evaluate the safety and efficacy of DPX-Survivac, Merck’s pembrolizumab, and low-dose cyclophosphamide. DPX-Survivac stimulates the immune system to produce T cell responses targeting survivin. In September 2018, the company announced the expansion of its clinical program with a Phase 2 basket trial in collaboration with Merck evaluating its lead candidate, DPX-Survivac, in combination with low dose cyclophosphamide, and Merck’s anti-PD-1 therapy, KEYTRUDA (pembrolizumab) in patients with select advanced or recurrent solid tumours. This is the third clinical trial evaluating the combination of DPX-Survivac, low dose cyclophosphamide, and pembrolizumab in advanced recurrent cancers. In February 2017, the company announced an investigator-sponsored phase 2 clinical trial in ovarian cancer in combination with Merck’s checkpoint inhibitor pembrolizumab in patients with recurrent, platinum-resistant ovarian cancer. In 2015, the company had entered into a non-exclusive clinical trial collaboration with Incyte Corporation (Incyte) to evaluate the combination of DPX-Survivac, with Incyte’s investigational oral IDO1 inhibitor, epacadostat. The investigational new drug (IND) application for the study was approved by the FDA and Health Canada in 2016. In 2017, the company provided positive topline clinical data. In April 2018, the company entered into an agreement with Incyte to expand the ongoing clinical trial collaboration. The companies added a phase 2 component to their ongoing phase 1b combination study. In November 2018, the company announced an amendment to its phase 1b/2 clinical trial evaluating the safety and efficacy of DPX-Survivac in combination with either 100 mg or 300 mg of epacadostat in patients with recurrent ovarian cancer. The company announced in 2016 that the European Medicines Agency had granted orphan drug designation status to the company’s DPX-Survivac in ovarian cancer. In 2015, the FDA also granted orphan drug status to DPX-Survivac for the treatment of ovarian cancer. This designation is valid for all applications of DPX-Survivac in ovarian cancer without restriction to a specific stage of disease. The company had previously received FDA fast track designation for DPX-Survivac. The designation is intended for patients with no measurable disease after their initial surgery and chemotherapy. Other Programs In January 2019, treatment of the first patient occurred in the phase 1 trial evaluating neoepitopes formulated in the company’s proprietary DPX delivery platform in patients with ovarian cancer. The study is part of the company’s DPX-NEO program, which is a continuing collaboration between UConn Health and the company to develop neoepitope-based anti-cancer therapies. DPX-E7 In 2017, the company announced that the first study participant has been treated in a phase 1b/2 clinical study evaluating an investigational cancer target for human papillomavirus (HPV) (E7) formulated in DPX and in combination with low-dose cyclophosphamide in patients with incurable oropharyngeal, cervical and anal cancers related to HPV. Dana-Farber is leading the DPX-E7 study through a research grant from Stand Up To Cancer and the Farrah Fawcett Foundation to clinically evaluate collaborative translational research that addresses critical problems in HPV-related cancers. The Dana-Farber study is a single center, open label, non-randomized clinical trial that would investigate the safety and clinical efficacy in a total of 44 treated participants. The company has the option to produce the DPX-E7 vaccine if it proves successful in the clinical trials. The company expects to disclose results when provided by Dana-Farber. A component of the company’s business strategy is partnering the DPX platform within infectious and other diseases. The DPX platform has the potential to generate an immune response, in a single dose. The single-dose capability could prove to be beneficial in targeting diff","TSX:IMV
Company: IMV Inc.
(IQT71987179) - Canada"
02-20-2020,"Lexington Biosciences, Inc. (CNSX:LNB)",CNSX:LNB,Medical Devices,Private Placement,Announced, 0.5 ,-,-,IQTR655652511,Health Care (Primary),Canada (Primary),"Lexington Biosciences, Inc. develops and commercializes non-invasive diagnostic products for cardiovascular health for home and clinical use. It develops HeartSentry, a device for the personalized measurement and monitoring of vascular health to identify cardiovascular disease at its earliest stages. The company is headquartered in Vancouver, Canada.",-,"CNSX:LNB
Company: Lexington Biosciences, Inc.
(IQT430256436) - Canada"
03-03-2020,Medicenna Therapeutics Corp. (TSX:MDNA),TSX:MDNA,Therapeutic R&D,Public Offering,Closed, 35.0 ,-,-,IQTR657094659,Health Care (Primary),Canada (Primary),"Medicenna Therapeutics Corp., a clinical stage immunotherapy company, develops and commercializes Empowered Cytokines (EC) and Superkines for the treatment of cancer. Its lead product is MDNA55, an interleukin- 4 (IL-4) EC that is in the Phase 2b clinical trial for the treatment of recurrent glioblastoma, as well as preclinical and clinical development stages for the treatment of other brain and non-brain tumors. The company also develops MDNA57 for solid tumors and non-malignant cells of the tumor micro-environment; MDNA109, an IL-2 agonist to treat cancer immunotherapies; MDNA209, an IL-2 antagonist for autoimmune diseases; MDNA413, a dual IL-4/IL-13 antagonist for the treatment of solid tumors, atopic dermatitis, asthma, and fibrosis; and MDNA132, an IL-13 agonist to treat solid tumors and IL 13Ralpha2 chimeric antigen receptor T cell. Medicenna Therapeutics Corp. is headquartered in Toronto, Canada.",-,"TSX:MDNA
Company: Medicenna Therapeutics Corp.
(IQT421396443) - Canada"
03-06-2020,MedX Health Corp (TSXV:MDX),TSXV:MDX,Medical Devices,Private Placement,Announced, 2.5 ,-,-,IQTR657912128,Health Care (Primary),Canada (Primary),"MedX Health Corp., a medical device and software company, develops, manufactures, and markets skin related screening tools and phototherapy devices for pain relief and tissue repair in North America, Europe, and Asia. The company offers SIAscopy, a medical device technology that is used to scan skin for suspicious moles and lesions; and phototherapeutic medical devices, which use light energy in lower-level laser and LED to provide treatment for pain and tissue damage in the rehabilitation market. Its product portfolio includes SIMSYS, a skin analysis system; MoleMate, a non-invasive screening device that is designed for general practitioners and skin specialists; and SIAMETRICS, a skin visualization and measurement technology that allows cosmetic formulators and active ingredient manufacturers to measure and quantify the concentrations of melanin, haemoglobin, and collagen in living human skin. The company also provides rehab laser console systems, dental laser console systems, oralase portable laser probes, MedX home treatment systems, and rehab portable lasers. In addition, it operates DermSecure telemedicine platform that enables the Web-based operation of SIAscopy scanning technology and allows the company to deploy its technology in networks of third-party locations from which patients’ mole and lesion scans can be connected to specialist physicians for remote assessment. The company was incorporated in 1999 and is headquartered in Mississauga, Canada.",-,"TSXV:MDX
Company: MedX Health Corp
(IQT41570448) - Canada"
01-31-2020,Microbix Biosystems Inc. (TSX:MBX),TSX:MBX,Medical Devices,Private Placement,Closed, 2.36 ,-,-,IQTR653109660,Health Care (Primary),Canada (Primary),"Microbix Biosystems Inc., a life science company, manufactures viral and bacterial antigens and reagents for the diagnostics industry worldwide. The company produces infectious disease antigens, including viral, bacterial, and parasitic products, which are used in various applications, such as immunodiagnostic assays comprising ELISA, chemiluminescent automated immunoassays, immunohistochemistry, immunofluorescence, latex agglutination, rapid tests, and flow cytometry. Its infectious disease antigens also used in controls for diagnostic assays, basic and applied research in virology, microbiology, cell biology, immunology, and pathology, or for vaccine and antiviral research and development. The company also provides quality assessment products, including PROCEEDx Verification/Validation samples, which are research use only products for use in test system IQ/OQ/PQ, verification/validation, and training; PTDx proficiency testing products; and REDx Controls, which are designed to enhance the diagnostic quality outcome by early detection of the deviations from desired assay performance. In addition, it develops Kinlytic Urokinase for injection, a thrombolytic biologic drug used to treat blood clots; and LumiSort cell-sorting, a technology for sorting of particles that could be used to enrich cell populations of interest, such as in sexing semen. Microbix Biosystems Inc. was founded in 1988 and is based in Mississauga, Canada.","Microbix Biosystems Inc. develops biological products and technologies. The company operates in two industries, such as the development, manufacturing and distribution of cell-based products and technology; and the provision of facility, technical and production personnel for contract research and development. The company has customers in North America, Europe, and other foreign countries. The Virology Business (Virology) manufactures and develops cell culturebased biological products and technologies. The company has developed and acquired two technologies for primary markets, including the thrombolytic drug, Kinlytic (Urokinase), and an animal reproductive technology in development, LumiSort. The company invests in Virology to adopt technologies and standards. The manufacturing facility operates under an infectious diseases biological license from the Canadian Food Inspection Agency. The company has internally developed an improved bioreactor production process (Bioreactor) to increase the efficiency and output of manufacturing certain virology products. The company owns a license agreement from Sequent Biotechnologies Inc., a biotechnology company solely involved in the development and commercialization of the LumiSort technology under license. The company owns the assets and rights pertaining to development, production, and licensing of Kinlytic from ImaRX Therapeutics, Inc. These assets are in the process of being developed and new patents are pending and under development. History Microbix Biosystems Inc. was founded in 1988.","TSX:MBX
Company: Microbix Biosystems Inc.
(IQT2630461) - Canada"
