Company,Category
"Abacus Health Products, Inc. (CNSX:ABCS)",CB
"Abacus Health Products, Inc. (CNSX:ABCS)",CB
"Abacus Health Products, Inc. (CNSX:ABCS)",CB
AbCellera,Services
ABK Biomedical,MedTech
Acasti Pharma Inc. (TSXV:ACST),1' Clinical Rx
Acasti Pharma Inc. (TSXV:ACST),1' Clinical Rx
Acasti Pharma Inc. (TSXV:ACST),1' Clinical Rx
Acasti Pharma Inc. (TSXV:ACST),1' Clinical Rx
Acasti Pharma Inc. (TSXV:ACST),1' Clinical Rx
Acerus Pharmaceuticals Corporation (TSX:ASP),1' Marketed Rx
Acerus Pharmaceuticals Corporation (TSX:ASP),1' Marketed Rx
Aequus Pharmaceuticals Inc. (TSXV:AQS),3+ Marketed Rx
Aequus Pharmaceuticals Inc. (TSXV:AQS),3+ Marketed Rx
Akumin Inc. (TSX:AKU),Services
AlayaCare,e-Health
Angiochem,1' Clinical Rx
Antibe Therapeutics Inc. (TSXV:ATE),3+ Clinical Rx
Antibe Therapeutics Inc. (TSXV:ATE),3+ Clinical Rx
Antibe Therapeutics Inc. (TSXV:ATE),3+ Clinical Rx
Appili Therapeutics Inc. (TSXV:APLI),3+ Clinical Rx
Appili Therapeutics Inc. (TSXV:APLI),3+ Clinical Rx
Apteryx Imaging Inc. (TSXV:XRAY),MedTech
Apteryx Imaging Inc. (TSXV:XRAY),MedTech
Aptose Biosciences Inc. (TSX:APS),2' Clinical Rx
Aquarius Surgical Technologies Inc. (CNSX:ASTI),MedTech
Aurinia Pharmaceuticals Inc. (TSX:AUP),1' Clinical Rx
Aurinia Pharmaceuticals Inc. (TSX:AUP),1' Clinical Rx
Aurinia Pharmaceuticals Inc. (TSX:AUP),1' Clinical Rx
Avicanna Inc. (TSX:AVCN),CB
Avicanna Inc. (TSX:AVCN),CB
Avivagen Inc. (TSXV:VIV),Vet health
Avivagen Inc. (TSXV:VIV),Vet health
Avivagen Inc. (TSXV:VIV),Vet health
BELLUS Health Inc. (TSX:BLU),1' Clinical Rx
BELLUS Health Inc. (TSX:BLU),1' Clinical Rx
BELLUS Health Inc. (TSX:BLU),1' Clinical Rx
BlueDot,e-Health
BlueLight Analytics,MedTech
BriaCell Therapeutics Corp. (TSXV:BCT),3+ Clinical Rx
Canada House Wellness Group Inc. (CNSX:CHV),CB
Canada House Wellness Group Inc. (CNSX:CHV),CB
Canary Medical,e-Health
Canntab Therapeutics Limited (CNSX:PILL),CB
Canntab Therapeutics Limited (CNSX:PILL),CB
Cardiol Therapeutics Inc. (TSX:CRDL),CB
Cardiol Therapeutics Inc. (TSX:CRDL),CB
CareGuide ( Software),e-Health
CellAegis Devices,MedTech
Chartwell Retirement Residences (TSX:CSH.UN),Services
Chronometriq,e-Health
Circle Cardiovascular Imaging,MedTech
Cognetivity Neurosciences Ltd. (CNSX:CGN),e-Health
Correvio Pharma Corp. (TSX:CORV),3+ Marketed Rx
Correvio Pharma Corp. (TSX:CORV),3+ Marketed Rx
Correvio Pharma Corp. (TSX:CORV),3+ Marketed Rx
Correvio Pharma Corp. (TSX:CORV),3+ Marketed Rx
Correvio Pharma Corp. (TSX:CORV),3+ Marketed Rx
Covalon Technologies Ltd. (TSXV:COV),MedTech
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
Cronos Group Inc. (TSX:CRON),CB
ESSA Pharma Inc. (TSXV:EPI),1' Clinical Rx
ESSA Pharma Inc. (TSXV:EPI),1' Clinical Rx
ESSA Pharma Inc. (TSXV:EPI),1' Clinical Rx
ESSA Pharma Inc. (TSXV:EPI),1' Clinical Rx
ESSA Pharma Inc. (TSXV:EPI),1' Clinical Rx
Evasc Neurovascular Enterprises,MedTech
Exact Imaging,MedTech
Exact Imaging,MedTech
EXMceuticals Inc. (CNSX:EXM),CB
Extendicare Inc. (TSX:EXE),Services
Eyecarrot Innovations Corp. (TSXV:EYC),e-Health
Fatigue Science,e-Health
Feldan Therapeutics,MedTech
Fio,MedTech
Gaia Grow Corp. (TSXV:GAIA),CB
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
Greenbrook TMS Inc. (TSX:GTMS),MedTech
Greenbrook TMS Inc. (TSX:GTMS),MedTech
Greenbrook TMS Inc. (TSX:GTMS),MedTech
HealthSpace Data Systems Ltd. (CNSX:HS),e-Health
Helix BioPharma Corp. (TSX:HBP),1' Clinical Rx
Helix BioPharma Corp. (TSX:HBP),1' Clinical Rx
Helix BioPharma Corp. (TSX:HBP),1' Clinical Rx
Helix BioPharma Corp. (TSX:HBP),1' Clinical Rx
Hemostemix Inc. (TSXV:HEM),1' Clinical Rx
HLS Therapeutics Inc. (TSX:HLS),3+ Marketed Rx
H-Source Holdings Ltd. (TSXV:HSI),Services
H-Source Holdings Ltd. (TSXV:HSI),Services
Imagin Medical Inc. (CNSX:IME),MedTech
Imaging Dynamics Company Ltd. (TSXV:IDL),MedTech
IMV Inc. (TSX:IMV),1' Clinical Rx
IMV Inc. (TSX:IMV),1' Clinical Rx
IMV Inc. (TSX:IMV),1' Clinical Rx
IMV Inc. (TSX:IMV),1' Clinical Rx
IMV Inc. (TSX:IMV),1' Clinical Rx
Induce Biologics,MedTech
IntelGenx Technologies Corp. (OTCPK:IGXT),3+ Clinical Rx
IntelGenx Technologies Corp. (OTCPK:IGXT),1' Marketed Rx
IntelGenx Technologies Corp. (OTCPK:IGXT),1' Marketed Rx
IntelGenx Technologies Corp. (OTCPK:IGXT),1' Marketed Rx
Intellijoint Surgical,MedTech
Intellipharmaceutics International Inc. (TSX:IPCI),3' Marketed Rx
Intellipharmaceutics International Inc. (TSX:IPCI),3' Marketed Rx
Intellipharmaceutics International Inc. (TSX:IPCI),3' Marketed Rx
Intellipharmaceutics International Inc. (TSX:IPCI),3' Marketed Rx
Kane Biotech Inc. (TSXV:KNE),MedTech
KDA Group Inc. (TSXV:KDA),Services
KDA Group Inc. (TSXV:KDA),Services
KDA Group Inc. (TSXV:KDA),Services
KisoJi Biotechnology,1' Clinical Rx
KneeKG,MedTech
Knight Therapeutics Inc. (TSX:GUD),3+ Marketed Rx
LightIntegra,MedTech
LightIntegra,MedTech
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Liminal BioSciences Inc. (TSX:LMNL),3+ Clinical Rx
Lotus Ventures Inc. (CNSX:J),CB
Lungpacer Medical,MedTech
Medexus Pharmaceuticals Inc. (TSXV:MDP),3+ Marketed Rx
Medexus Pharmaceuticals Inc. (TSXV:MDP),3+ Marketed Rx
Medicenna Therapeutics Corp. (TSX:MDNA),1' Clinical Rx
Medicenna Therapeutics Corp. (TSX:MDNA),1' Clinical Rx
Medicenna Therapeutics Corp. (TSX:MDNA),1' Clinical Rx
Medicenna Therapeutics Corp. (TSX:MDNA),1' Clinical Rx
MetaOptima,MedTech
Microbix Biosystems Inc. (TSX:MBX),MedTech
Milestone Pharmaceuticals (NAS: MIST),1' Clinical Rx
Milestone Pharmaceuticals (NAS: MIST),1' Clinical Rx
Mirexus Biotechnologies,MedTech
MSI Methylation Sciences,1' Clinical Rx
NanoSphere Health Sciences Inc. (CNSX:NSHS),CB
NanoSphere Health Sciences Inc. (CNSX:NSHS),CB
Neovasc Inc. (TSX:NVCN),MedTech
Neovasc Inc. (TSX:NVCN),MedTech
Neovasc Inc. (TSX:NVCN),MedTech
Neovasc Inc. (TSX:NVCN),MedTech
Neovasc Inc. (TSX:NVCN),MedTech
Neovasc Inc. (TSX:NVCN),MedTech
NervGen Pharma Corp. (TSXV:NGEN),1' Clinical Rx
Newtopia,Services
Nova Leap Health Corp. (TSXV:NLH),Services
Oncolytics Biotech Inc. (TSX:ONC),1' Clinical Rx
Oncolytics Biotech Inc. (TSX:ONC),1' Clinical Rx
Opsens Inc. (TSX:OPS),MedTech
Opsens Inc. (TSX:OPS),MedTech
OrthoPulse,MedTech
PAI Health,e-Health
PAI Health,e-Health
Pascal Biosciences Inc. (TSXV:PAS),CB
Precision Nanosystems,MedTech
Precision Nanosystems,MedTech
Premier Health Group Inc. (CNSX:PHGI),Services
Profound Medical Corp. (TSX:PRN),MedTech
Profound Medical Corp. (TSX:PRN),MedTech
Profound Medical Corp. (TSX:PRN),MedTech
Profound Medical Corp. (TSX:PRN),MedTech
"ProMIS Neurosciences, Inc. (TSX:PMN)",1' Clinical Rx
"ProMIS Neurosciences, Inc. (TSX:PMN)",1' Clinical Rx
Qvella,MedTech
Rapid Dose Therapeutics Corp. (CNSX:DOSE),CB
Reliq Health Technologies Inc. (TSXV:RHT),e-Health
Reliq Health Technologies Inc. (TSXV:RHT),e-Health
RepliCel Life Sciences Inc. (OTCPK:REPC.F),2' Clinical Rx
RepliCel Life Sciences Inc. (OTCPK:REPC.F),2' Clinical Rx
RepliCel Life Sciences Inc. (OTCPK:REPC.F),2' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Resverlogix Corp. (TSX:RVX),1' Clinical Rx
Self Care Catalysts,e-Health
Sernova Corp. (TSXV:SVA),3+ Clinical Rx
Sernova Corp. (TSXV:SVA),3+ Clinical Rx
Shoebox (Diagnostic Equipment),MedTech
Sienna Senior Living Inc. (TSX:SIA),Services
Sienna Senior Living Inc. (TSX:SIA),Services
Sienna Senior Living Inc. (TSX:SIA),Services
Spectral Medical Inc. (TSX:EDT),MedTech
Spectral Medical Inc. (TSX:EDT),MedTech
SQI Diagnostics Inc. (TSXV:SQD),MedTech
SQI Diagnostics Inc. (TSXV:SQD),MedTech
SQI Diagnostics Inc. (TSXV:SQD),MedTech
SQI Diagnostics Inc. (TSXV:SQD),MedTech
StageZero Life Sciences Ltd. (TSX:SZLS),MedTech
StageZero Life Sciences Ltd. (TSX:SZLS),MedTech
StillCanna Inc. (CNSX:STIL),CB
StillCanna Inc. (CNSX:STIL),CB
Synaptive,MedTech
Telo Genomics Corp. (TSXV:TELO),MedTech
Theralase Technologies Inc. (TSXV:TLT),MedTech
Theralase Technologies Inc. (TSXV:TLT),MedTech
Theratechnologies Inc. (TSX:TH),3+ Marketed Rx
Theratechnologies Inc. (TSX:TH),3+ Marketed Rx
Think Research,e-Health
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Titan Medical Inc. (TSX:TMD),MedTech
Tornado Spectral Systems,MedTech
Trillium Therapeutics Inc. (TSX:TRIL),3+ Clinical Rx
Trillium Therapeutics Inc. (TSX:TRIL),3+ Clinical Rx
Trillium Therapeutics Inc. (TSX:TRIL),3+ Clinical Rx
TSO3 Inc. (TSX:TOS),MedTech
Turnstone Biologics,1' Clinical Rx
Valeo Pharma Inc. (CNSX:VPH),3+ Marketed Rx
VentriPoint Diagnostics Ltd. (TSXV:VPT),MedTech
Venus Concept Canada,MedTech
Venus Concept Canada,MedTech
Venus Concept Canada,MedTech
Vitalhub Corp. (TSXV:VHI),e-Health
Vitalhub Corp. (TSXV:VHI),e-Health
WELL Health Technologies Corp. (TSXV:WELL),e-Health
WELL Health Technologies Corp. (TSXV:WELL),e-Health
WELL Health Technologies Corp. (TSXV:WELL),e-Health
WELL Health Technologies Corp. (TSXV:WELL),e-Health
Willow Biosciences Inc. (CNSX:WLLW),CB
Zecotek Photonics Inc. (TSXV:ZMS),MedTech
Zymeworks Inc. (NYSE:ZYME),2' Clinical Rx
Zymeworks Inc. (NYSE:ZYME),2' Clinical Rx
Zymeworks Inc. (NYSE:ZYME),2' Clinical Rx
AbCellera,Services
ABK Biomedical,MedTech
AlayaCare,e-Health
Angiochem,1' Clinical Rx
BlueDot,e-Health
BlueLight Analytics,MedTech
Canary Medical,e-Health
CareGuide ( Software),e-Health
CellAegis Devices,MedTech
Chronometriq,e-Health
Circle Cardiovascular Imaging,MedTech
Evasc Neurovascular Enterprises,MedTech
Exact Imaging,MedTech
Exact Imaging,MedTech
Fatigue Science,e-Health
Feldan Therapeutics,MedTech
Fio,MedTech
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
GenomeDx,e-Health
Induce Biologics,MedTech
Intellijoint Surgical,MedTech
KisoJi Biotechnology,1' Clinical Rx
KneeKG,MedTech
LightIntegra,MedTech
LightIntegra,MedTech
Lungpacer Medical,MedTech
MetaOptima,MedTech
Milestone Pharmaceuticals (NAS: MIST),1' Clinical Rx
Milestone Pharmaceuticals (NAS: MIST),1' Clinical Rx
Mirexus Biotechnologies,MedTech
MSI Methylation Sciences,1' Clinical Rx
Newtopia,Services
OrthoPulse,MedTech
PAI Health,e-Health
PAI Health,e-Health
